Drug_A,Drug_B,Side_Effect,Severity_Score,Severity
Hydrochlorothiazide,Enalapril,Iron deficiency anaemia,1.17647,Minor
Lorazepam,placebo,Anaemia,1.53846,Minor
Hydroxocobalamin,epoetin beta,Nausea,1.42857,Minor
fingolimod,varenicline,Bradycardia,5.0,Major
mercaptopurine,pantoprazole,Anaemia,0.769231,Minor
Perindopril,bortezomib,Anaemia,6.66667,Major
"Regular Insulin, Human",Potassium Aspartate,Anaemia,10.0,Major
Amitriptyline,Pravastatin,Iron deficiency anaemia,30.0,Major
Clavulanate,Clarithromycin,Iron deficiency anaemia,30.0,Major
Ondansetron,Fentanyl,Iron deficiency anaemia,3.63636,Moderate
dorzolamide,Vitamin A,Dyspnoea,1.875,Minor
Cyclizine,clopidogrel,Metastases to lymph nodes,10.0,Major
infliximab,Melatonin,Dyspnoea,1.17647,Minor
Niacin,tizanidine,Anaemia,1.42857,Minor
Nicorandil,nebivolol,Anaemia,5.0,Major
cyclobenzaprine,Flecainide,Anaemia,5.0,Major
duloxetine,Sodium Chloride,Anaemia,5.29412,Major
Cholecalciferol,terbinafine,Dyspnoea,3.75,Moderate
raltegravir,Delavirdine,Dizziness,1.66667,Minor
Ibandronate,Phenobarbital,Anaemia,5.0,Major
belimumab,leflunomide,Tachycardia,5.0,Major
Buprenorphine,Amphetamine,Anaemia,1.53846,Minor
Etanercept,Mirtazapine,Thrombocytopenia,1.11111,Minor
Aspirin,reboxetine,Anaemia,3.33333,Moderate
Amantadine,Ramipril,Anaemia,16.0,Major
olanzapine,Methimazole,Bradycardia,10.0,Major
Capsaicin,Furosemide,Anaemia,3.33333,Moderate
Clotrimazole,Levofloxacin,Anaemia,6.66667,Major
Tramadol,rizatriptan,Anaemia,1.53846,Minor
Ketoprofen,etoricoxib,Chest pain,2.5,Moderate
Pseudoephedrine,Amantadine,Anaemia,3.33333,Moderate
ramelteon,Trazodone,Disseminated intravascular coagulation,2.5,Moderate
alemtuzumab,Pentamidine,Anaemia,2.5,Moderate
Mometasone,C1 esterase inhibitor,Anaemia,10.0,Major
Etanercept,nabumetone,Anaemia,0.37037,Minor
Budesonide,azelastine,Anaemia,0.8,Minor
geranylgeranylacetone,Methylprednisolone,Anaemia,1.25,Minor
certolizumab pegol,Etodolac,Dizziness,1.25,Minor
fingolimod,Loperamide,Anaemia,6.66667,Major
"Regular Insulin, Human",dimethicone,Dizziness,10.0,Major
crizotinib,Naproxen,Anaemia,3.33333,Moderate
potassium citrate,Clarithromycin,Pancytopenia,10.0,Major
pregabalin,Meclizine,Anaemia,1.90476,Minor
calcium acetate,Clonazepam,Anaemia,5.55556,Major
insulin detemir,salmeterol,Anaemia,1.25,Minor
zonisamide,Digoxin,Anaemia,5.0,Major
Glyburide,valdecoxib,Anaemia,12.0,Major
Probenecid,Hydroxychloroquine,Dyspnoea,1.25,Minor
Hydrochlorothiazide,Fluorouracil,Iron deficiency anaemia,1.66667,Minor
Betamethasone,Ketoprofen,Anaemia,2.5,Moderate
Teriparatide,adalimumab,Anaemia,3.04348,Moderate
Valproate,celecoxib,Anaemia,1.0,Minor
Morphine,loxoprofen,Anaemia,5.71429,Major
Domperidone,Dopamine,Anaemia,5.0,Major
Aspirin,Hydroxocobalamin,Anaemia,1.78571,Minor
Diclofenac,Sulfamethoxazole,Iron deficiency anaemia,30.0,Major
mosapride,Nifedipine,Anaemia,2.72727,Moderate
Ceftriaxone,Isosorbide,Anaemia,8.57143,Major
Mitoxantrone,Bupropion,Anaemia,5.0,Major
Hydrocodone,Daunorubicin,Anaemia,0.769231,Minor
Dapsone,Indinavir,Drug ineffective,2.5,Moderate
Oxycodone,fingolimod,Anaemia,1.875,Minor
duloxetine,Phenelzine,Dyspnoea,0.714286,Minor
Timolol,Diphenoxylate,Anaemia,3.33333,Moderate
Chlordiazepoxide,atomoxetine,Anaemia,3.33333,Moderate
Risperidone,zonisamide,Anaemia,1.66667,Minor
eletriptan,Doxycycline,Cardiac disorder,3.33333,Moderate
levothyroxine,Levalbuterol,Iron deficiency anaemia,15.0,Major
Medroxyprogesterone,norgestimate,Cardiac disorder,1.42857,Minor
Ibandronate,ambrisentan,Anaemia,8.0,Major
Sulfasalazine,Vitamin D,Anaemia,1.36364,Minor
Acetylcysteine,dronedarone,Anaemia,5.0,Major
Lactulose,Solifenacin,Jaundice,10.0,Major
Bumetanide,Acetylcysteine,Anaemia,5.0,Major
Trimipramine,Baclofen,Dyspnoea,2.5,Moderate
Sertraline,dalfampridine,Anaemia,0.625,Minor
Naltrexone,Pramipexole,Injection site erythema,3.33333,Moderate
Lipase,Dexamethasone,Anaemia,1.11111,Minor
Amlodipine,aripiprazole,Anaemia,1.0,Minor
prednisolone,Cetylpyridinium,Dizziness,3.33333,Moderate
liothyronine,Calcium,Anaemia,5.0,Major
Ursodeoxycholate,adalimumab,Anaemia,1.81818,Minor
Albuterol,Camphor,Anaemia,3.33333,Moderate
olanzapine,Chlorprothixene,Anaemia,1.81818,Minor
Nefopam,Ketamine,Pancytopenia,1.66667,Minor
Paroxetine,atomoxetine,Anaemia,0.357143,Minor
Lidocaine,clorazepate,Anaemia,3.33333,Moderate
Magnesium Chloride,repaglinide,Anaemia,3.33333,Moderate
Atropine,Nitrous Oxide,Anaemia,1.66667,Minor
Tramadol,Ribavirin,Anaemia,14.4068,Major
Magnesium Oxide,Flurbiprofen,Anaemia,1.66667,Minor
golimumab,montelukast,Dyspnoea,1.81818,Minor
Ginkgo biloba extract,Amitriptyline,Dizziness,3.33333,Moderate
Risperidone,Fenofibrate,Anaemia,2.41379,Moderate
Prazosin,Temazepam,Non-Hodgkin's lymphoma,10.0,Major
fingolimod,Dextroamphetamine,Thrombocytopenia,1.25,Minor
Dextran 70,Warfarin,Bradycardia,20.0,Major
Amlodipine,tenoxicam,Acute myeloid leukaemia,10.0,Major
vitamin D3,pregabalin,Anaemia,0.882353,Minor
quetiapine,Oxymetazoline,Tachycardia,10.0,Major
Psyllium,Glucosamine,Anaemia,6.66667,Major
Acetaminophen,Mannitol,Anaemia,6.92308,Major
Sulindac,abatacept,Dyspnoea,1.42857,Minor
Niacin,Pramipexole,Anaemia,3.33333,Moderate
Cetirizine,Bifidobacterium Infantis,Dizziness,1.66667,Minor
tioconazole,Fluconazole,Dyspnoea,1.25,Minor
Ticagrelor,Trospium,Anaemia,15.0,Major
Metronidazole,Teicoplanin,Anaemia,1.07143,Minor
Naloxone,Prednisone,Anaemia,20.0,Major
Piperacillin,sorafenib,Anaemia,5.0,Major
Dalteparin,Busulfan,Anaemia,25.0,Major
Succinylcholine,Papaverine,Myocardial infarction,10.0,Major
Magnesium,zonisamide,Dyspnoea,1.81818,Minor
Vigabatrin,Cetirizine,Anaemia,3.33333,Moderate
Phenobarbital,Dexamethasone,Anaemia,1.66667,Minor
Simvastatin,cetuximab,Anaemia,2.96296,Moderate
Lisinopril,abiraterone,Anaemia,1.42857,Minor
duloxetine,Calcium,Iron deficiency anaemia,1.66667,Minor
Azithromycin,Nelfinavir,Anaemia,33.3333,Major
Finasteride,Ketoconazole,Anaemia,23.3333,Major
Cyclosporine,Glucosamine,Anaemia,5.0,Major
Nitrofurantoin,Cyclosporine,Anaemia,3.33333,Moderate
Tramadol,Lipase,Anaemia,1.42857,Minor
Ferrous fumarate,Lidocaine,Thrombocytopenia,10.0,Major
prednisolone,Calcium Aspartate,Anaemia,3.63636,Moderate
POLYETHYLENE GLYCOL 3350,moxonidine,Myocardial infarction,10.0,Major
Gemfibrozil,dimethyl fumarate,Gastrointestinal haemorrhage,10.0,Major
Fiber,Vitamin E,Dizziness,3.33333,Moderate
Mometasone,Acebutolol,Dyspnoea,2.5,Moderate
Lutein,Biotin,Dyspnoea,3.33333,Moderate
Fluoxetine,Silymarin,Anaemia,3.33333,Moderate
Hydrocodone,sitagliptin,Anaemia,3.20755,Moderate
Estradiol,zolmitriptan,Anaemia,2.0,Moderate
repaglinide,Pramlintide,Dizziness,3.33333,Moderate
Phenylephrine,Flurbiprofen,Anaemia,1.66667,Minor
Levodopa,entacapone,Iron deficiency anaemia,2.85714,Moderate
paricalcitol,epoetin beta,Anaemia,1.66667,Minor
hydroxyethyl starch 130-0.4,Vancomycin,Atrial fibrillation,5.0,Major
Trimethoprim,Amphotericin B,Iron deficiency anaemia,3.33333,Moderate
Dalteparin,Benzydamine,Neutropenic sepsis,30.0,Major
mecobalamin,Amiodarone,Anaemia,3.33333,Moderate
Aspirin,ziconotide,Anaemia,5.0,Major
pioglitazone,exenatide,Iron deficiency anaemia,1.81818,Minor
Hydrochlorothiazide,Betaxolol,Anaemia,2.22222,Moderate
mecobalamin,sitagliptin,Anaemia,3.0,Moderate
Fosinopril,varenicline,Anaemia,3.33333,Moderate
Etanercept,Hydroxychloroquine,Iron deficiency anaemia,1.6129,Minor
Dutasteride,denosumab,Dyspnoea,1.42857,Minor
Azithromycin,Aztreonam,Anaemia,3.75,Moderate
Cyclophosphamide,Cisplatin,Iron deficiency anaemia,0.909091,Minor
Sulfasalazine,pregabalin,Anaemia,1.11111,Minor
Tiaprofenate,adalimumab,Fatigue,1.66667,Minor
Prednisone,varenicline,Anaemia,1.5942,Minor
tinzaparin,Hydromorphone,Anaemia,3.33333,Moderate
Levofloxacin,Mexiletine,Anaemia,10.0,Major
nebivolol,dalfampridine,Dizziness,10.0,Major
ezetimibe,Pyridostigmine,Anaemia,3.33333,Moderate
Acetaminophen,Chloroquine,Anaemia,5.55556,Major
Ciprofloxacin,Bromazepam,Anaemia,7.14286,Major
salmeterol,anakinra,Nausea,1.42857,Minor
Epirubicin,Cetirizine,Anaemia,5.0,Major
Carisoprodol,Melatonin,Lymphadenopathy,3.33333,Moderate
Urea,Clobetasol,Anaemia,6.66667,Major
Albuterol,arformoterol,Anaemia,1.48148,Minor
Diclofenac,coenzyme Q10,Anaemia,3.33333,Moderate
Phenobarbital,Loperamide,Anaemia,5.0,Major
Sodium Bicarbonate,Sufentanil,Dyspnoea,1.25,Minor
Cholecalciferol,peginterferon alfa-2b,Anaemia,13.3333,Major
tofacitinib,Citalopram,Anaemia,2.5,Moderate
Calcium Carbonate,Potassium Chloride,Iron deficiency anaemia,6.66667,Major
Diclofenac,Molsidomine,Anaemia,15.0,Major
Estradiol,ustekinumab,Dizziness,2.5,Moderate
Triamterene,Diazepam,Anaemia,0.769231,Minor
Amlodipine,Mianserin,Anaemia,4.16667,Moderate
"Estrogens, Conjugated (USP)",lamotrigine,Anaemia,2.41379,Moderate
Famotidine,Ritonavir,Anaemia,18.3333,Major
Succinylcholine,Lidocaine,Anaemia,1.81818,Minor
Pentoxifylline,Vitamin A,Anaemia,10.0,Major
pinaverium,lansoprazole,Dizziness,5.0,Major
Indapamide,Amoxicillin,Anaemia,3.33333,Moderate
Trimetazidine,Potassium Chloride,Anaemia,15.0,Major
dexlansoprazole,Interferon beta-1a,Anaemia,3.33333,Moderate
Aprotinin,carvedilol,Anaemia,0.769231,Minor
Chlorhexidine,Ranitidine,Iron deficiency anaemia,20.0,Major
Desvenlafaxine,adalimumab,Anaemia,0.526316,Minor
infliximab,Misoprostol,Anaemia,0.8,Minor
Buprenorphine,paliperidone,Thrombocytopenia,0.909091,Minor
Captopril,Fluorouracil,Anaemia,5.0,Major
tizanidine,torsemide,Anaemia,3.33333,Moderate
Ethinyl Estradiol,Omega-3 Fatty Acids,Cardiac arrest,2.5,Moderate
Ibuprofen,Bromazepam,Anaemia,2.0,Moderate
Lidocaine,sevoflurane,Pancytopenia,0.833333,Minor
Budesonide,Diphenoxylate,Anaemia,4.44444,Moderate
alemtuzumab,voriconazole,Anaemia,2.85714,Moderate
Dextromethorphan,Pseudoephedrine,Anaemia,0.952381,Minor
cerivastatin,rofecoxib,Anaemia,10.0,Major
rosuvastatin,Gemfibrozil,Anaemia,1.57895,Minor
Sertraline,fingolimod,Petechiae,3.33333,Moderate
Epirubicin,Lamivudine,Anaemia,3.33333,Moderate
Erythromycin,Pravastatin,Anaemia,1.42857,Minor
Lutein,zoledronic acid,Atrial fibrillation,5.0,Major
crizotinib,levothyroxine,Anaemia,3.33333,Moderate
fluticasone,Budesonide,Iron deficiency anaemia,1.66667,Minor
venlafaxine,Bisoprolol,Anaemia,3.58491,Moderate
Ranitidine,Midodrine,Anaemia,10.0,Major
Lisinopril,Fluorouracil,Anaemia,3.20755,Moderate
Levetiracetam,Guanfacine,Nausea,1.66667,Minor
Tramadol,dabigatran,Anaemia,3.33333,Moderate
pyridoxine,Baclofen,Anaemia,5.0,Major
ambrisentan,Quinine,Dyspnoea,1.42857,Minor
Loratadine,pregabalin,Anaemia,1.73077,Minor
moxonidine,Lisinopril,Anaemia,1.11111,Minor
Bumetanide,Fluconazole,Anaemia,10.0,Major
Buspirone,Domperidone,Anaemia,3.33333,Moderate
omalizumab,pirbuterol,Anaemia,1.66667,Minor
Foscarnet,posaconazole,Anaemia,6.66667,Major
POLYETHYLENE GLYCOL 3350,Neomycin,Dyspnoea,1.42857,Minor
Aspirin,"TOCOPHERYL NICOTINATE, D-.ALPHA.",Anaemia,2.5,Moderate
Bifidobacterium bifidum,Magnesium Oxide,Anaemia,7.5,Major
prednisolone,Bupropion,Anaemia,1.11111,Minor
Amiloride,Finasteride,Dyspnoea,1.66667,Minor
exenatide,sitagliptin,Iron deficiency anaemia,8.0,Major
ceftibuten,Furosemide,Anaemia,5.0,Major
drospirenone,adalimumab,Dizziness,1.25,Minor
Levodopa,Interferon beta-1a,Anaemia,2.5,Moderate
Ramipril,Alfacalcidol,Anaemia,1.90476,Minor
valsartan,Fenofibrate,Iron deficiency anaemia,4.28571,Moderate
Hydrocortisone,enzalutamide,Anaemia,3.33333,Moderate
sodium phosphate,Alprazolam,Anaemia,10.0,Major
Estradiol,Vitamin A,Anaemia,0.909091,Minor
salmon calcitonin,moxifloxacin,Anaemia,10.0,Major
Risperidone,Risedronate,Anaemia,1.66667,Minor
Levetiracetam,Acyclovir,Anaemia,3.44828,Moderate
Albuterol,pomalidomide,Anaemia,2.85714,Moderate
Gemtuzumab ozogamicin,Cyclizine,Acute myeloid leukaemia,40.0,Major
infliximab,Trimethoprim,Anaemia,1.42857,Minor
Propoxyphene,Codeine,Iron deficiency anaemia,1.66667,Minor
atorvastatin,zonisamide,Anaemia,1.42857,Minor
Methadone,Meprobamate,Anaemia,1.66667,Minor
fexofenadine,dimethyl fumarate,Dizziness,0.909091,Minor
Amitriptyline,Roxithromycin,Thrombocytopenia,10.0,Major
Norethindrone,Naproxen,Anaemia,1.42857,Minor
"Insulin, Aspart, Human",Hydromorphone,Anaemia,3.33333,Moderate
Etanercept,Oxygen,Anaemia,6.66667,Major
Clonazepam,Fludrocortisone,Anaemia,1.0,Minor
rosiglitazone,Hydroxyzine,Anaemia,5.0,Major
Calcium Gluconate,Raloxifene,Anaemia,1.66667,Minor
Medroxyprogesterone,Etanercept,Anaemia,2.0,Moderate
Amantadine,Felodipine,Chest pain,3.33333,Moderate
Sulfasalazine,mercaptopurine,Anaemia,3.0,Moderate
Fentanyl,Estazolam,Anaemia,10.0,Major
Cephalexin,Pimecrolimus,Anaemia,13.3333,Major
Acetaminophen,terconazole,Iron deficiency anaemia,10.0,Major
Guaifenesin,erlotinib,Anaemia,4.0,Moderate
olopatadine,Atenolol,Anaemia,3.33333,Moderate
Cyclosporine,Levalbuterol,Anaemia,7.5,Major
Lorazepam,levocetirizine,Anaemia,2.85714,Moderate
Atropine,Propofol,Anaemia,0.877193,Minor
metaproterenol,ropinirole,Dyspnoea,1.25,Minor
atorvastatin,miglitol,Anaemia,2.5,Moderate
Ambroxol,Paroxetine,Cardiac failure,10.0,Major
fluticasone,tulobuterol,Anaemia,3.33333,Moderate
Acetaminophen,Lidocaine,Iron deficiency anaemia,1.33333,Minor
Etomidate,Verapamil,Cardiac failure,10.0,Major
Tramadol,Linseed Oil,Anaemia,1.11111,Minor
Budesonide,Cisapride,Dizziness,5.0,Major
Magnesium,eculizumab,Anaemia,6.66667,Major
tamsulosin,modafinil,Anaemia,0.909091,Minor
Bisoprolol,Atenolol,Anaemia,0.740741,Minor
Daunorubicin,Insulin Glargine,Anaemia,15.0,Major
Alprazolam,Sodium Oxybate,Anaemia,1.05263,Minor
tadalafil,bimatoprost,Dyspnoea,1.42857,Minor
Tramadol,Niacinamide,Anaemia,3.33333,Moderate
Midazolam,Haloperidol,Anaemia,4.11765,Moderate
levocetirizine,meloxicam,Anaemia,5.0,Major
Levetiracetam,irbesartan,Anaemia,3.75,Moderate
Risperidone,olopatadine,Anaemia,10.0,Major
tolterodine,Botulinum Toxin Type A,Anaemia,3.33333,Moderate
Esomeprazole,abatacept,Anaemia,2.69231,Moderate
apixaban,Gentamicin,Death,3.33333,Moderate
mesalamine,Tocopherol,Dizziness,3.33333,Moderate
Pseudoephedrine,Oxymetazoline,Anaemia,3.33333,Moderate
meloxicam,Sodium Oxybate,Anaemia,1.11111,Minor
zolpidem,zileuton,Dyspnoea,2.5,Moderate
Lactobacillus casei rhamnosus,Flunitrazepam,Tachycardia,10.0,Major
Bupropion,Acyclovir,Anaemia,3.25,Moderate
ramelteon,Budesonide,Dizziness,15.0,Major
Acetaminophen,linezolid,Iron deficiency anaemia,5.0,Major
Hydrochlorothiazide,cinacalcet,Cardiac disorder,3.33333,Moderate
Diphenhydramine,Lithium,Anaemia,1.11111,Minor
Vitamin D,sunitinib,Anaemia,3.91304,Moderate
Dopamine,Protamine Sulfate (USP),Anaemia,1.30435,Minor
Ibuprofen,Eflornithine,Dizziness,3.33333,Moderate
Fosinopril,Methylphenidate,Anaemia,10.0,Major
carvedilol,mycophenolate mofetil,Iron deficiency anaemia,3.33333,Moderate
temozolomide,Insulin Glargine,Anaemia,3.33333,Moderate
Alfentanil,Metoclopramide,Thrombocytopenia,10.0,Major
Sulpiride,Amoxapine,Cardiac arrest,1.66667,Minor
Tramadol,Cyclizine,Anaemia,0.869565,Minor
rituximab,Insulin Glargine,Anaemia,5.83333,Major
Dexmedetomidine,linezolid,Neutropenia,10.0,Major
Ferrous fumarate,Cefazolin,Death,2.5,Moderate
ferrous sulfate,Milrinone,Anaemia,15.0,Major
sitagliptin,Cefuroxime,Anaemia,10.0,Major
Guaifenesin,Risedronate,Anaemia,5.71429,Major
celecoxib,"synthetic conjugated estrogens, B",Dizziness,3.33333,Moderate
quetiapine,Cholesterol,Anaemia,5.0,Major
Norepinephrine,"insulin, isophane",Anaemia,5.0,Major
Vitamin B Complex,ziprasidone,Anaemia,10.0,Major
Nitroglycerin,Mexiletine,Anaemia,15.0,Major
gadodiamide,Gadopentetate Dimeglumine,Anaemia,0.366972,Minor
Amlodipine,Methotrexate,Iron deficiency anaemia,4.21053,Moderate
Medroxyprogesterone,adalimumab,Anaemia,1.66667,Minor
lamotrigine,Hydroxychloroquine,Anaemia,1.11111,Minor
Dexamethasone,rituximab,Iron deficiency anaemia,0.769231,Minor
Amoxicillin,Dicyclomine,Anaemia,1.66667,Minor
Folic Acid,Sulindac,Anaemia,1.76471,Minor
Warfarin,Lisinopril,Akathisia,0.135135,Minor
Fluoxetine,Vitamin B6,Anaemia,5.0,Major
candesartan,Fluconazole,Anaemia,6.47059,Major
Thiamine,tiotropium,Anaemia,3.63636,Moderate
Ceftriaxone,hydroxyethyl starch 130-0.4,Anaemia,10.0,Major
argatroban,Propofol,Anaemia,5.0,Major
lansoprazole,clotiazepam,Anaemia,6.0,Major
topiramate,salmon calcitonin,Dizziness,5.0,Major
Pseudoephedrine,azelastine,Anaemia,2.85714,Moderate
Hydrocodone,ranibizumab,Anaemia,10.0,Major
Rifampin,Tacrolimus,Anaemia,0.909091,Minor
Cefazolin,Loperamide,Anaemia,5.0,Major
duloxetine,Lidocaine,Anaemia,3.62069,Moderate
aripiprazole,placebo,Dizziness,1.11111,Minor
Sertraline,orlistat,Anaemia,1.11111,Minor
Warfarin,agalsidase beta,Anaemia,2.5,Moderate
loteprednol etabonate,Vitamin D,Anaemia,13.3333,Major
Prednisone,tiotropium,Iron deficiency anaemia,4.28571,Moderate
Magnesium Hydroxide,Fluconazole,Anaemia,6.66667,Major
Dextroamphetamine,Valproate,Anaemia,1.76471,Minor
Teriparatide,Aluminum Hydroxide,Anaemia,5.0,Major
Penicillin V,Clonazepam,Anaemia,3.33333,Moderate
Lidocaine,Itraconazole,Anaemia,10.0,Major
lenalidomide,Amisulpride,Anaemia,3.33333,Moderate
latanoprost,Isosorbide,Anaemia,1.33333,Minor
Levonorgestrel,fluticasone,Anaemia,1.81818,Minor
Methamphetamine,butalbital,Death,1.66667,Minor
Isosorbide Dinitrate,Paclitaxel,Anaemia,6.66667,Major
Loperamide,Folate,Anaemia,15.0,Major
dofetilide,carvedilol,Anaemia,4.21053,Moderate
Metformin,rivastigmine,Anaemia,1.79487,Minor
Spironolactone,potassium bicarbonate,Cardiac disorder,3.33333,Moderate
Isosorbide Dinitrate,eplerenone,Anaemia,5.0,Major
Promethazine,fludarabine,Anaemia,10.0,Major
fosphenytoin,Bupropion,Dyspnoea,1.66667,Minor
valacyclovir,iron sucrose,Anaemia,3.33333,Moderate
Esomeprazole,estropipate,Dizziness,1.42857,Minor
lansoprazole,atomoxetine,Thrombocytopenia,1.66667,Minor
Lisinopril,Ginkgo biloba extract,Anaemia,5.0,Major
Imipramine,cyclobenzaprine,Anaemia,2.5,Moderate
Acetaminophen,Riluzole,Neutropenia,10.0,Major
Hydroxocobalamin,Baclofen,Myocardial infarction,5.0,Major
Hydrocortisone,Prochlorperazine,Iron deficiency anaemia,2.0,Moderate
Risperidone,Midazolam,Anaemia,1.11111,Minor
Penicillin V,pomalidomide,Anaemia,10.0,Major
glimepiride,Potassium Chloride,Iron deficiency anaemia,10.0,Major
MYCOPHENOLATE,Methylprednisolone,Anaemia,1.81818,Minor
Iron,Tocopherol,Anaemia,6.66667,Major
Rocuronium,Magnesium Sulfate,Anaemia,4.0,Moderate
Glucose,Sodium Bicarbonate,Anaemia,1.77778,Minor
glimepiride,morniflumate,Anaemia,3.33333,Moderate
Folic Acid,Potassium Chloride,Iron deficiency anaemia,2.94118,Moderate
infliximab,levothyroxine,Iron deficiency anaemia,1.42857,Minor
Mometasone,Labetalol,Anaemia,3.33333,Moderate
pembrolizumab,Potassium Chloride,Anaemia,5.0,Major
topiramate,Valproate,Iron deficiency anaemia,1.81818,Minor
flunisolide,Sulfamethoxazole,Anaemia,5.0,Major
varenicline,Digoxin,Anaemia,0.769231,Minor
lapatinib,Ondansetron,Anaemia,2.85714,Moderate
"insulin, isophane",pyridoxine,Neutropenia,20.0,Major
temozolomide,lansoprazole,Anaemia,8.33333,Major
varenicline,Insulin Glargine,Anaemia,1.2,Minor
Octreotide,Potassium Chloride,Anaemia,1.81818,Minor
Testosterone,Progesterone,Anaemia,0.769231,Minor
Vitamin D,sodium selenate,Anaemia,5.71429,Major
Propoxyphene,Hydroxychloroquine,Iron deficiency anaemia,5.0,Major
nebivolol,sorafenib,Anaemia,3.33333,Moderate
Trimeprazine,tamsulosin,Vomiting,2.5,Moderate
Oxycodone,Cocaine,Pancytopenia,0.25,Minor
flupirtine,torsemide,Anaemia,3.33333,Moderate
Hydrocodone,lanthanum carbonate,Anaemia,6.66667,Major
valacyclovir,Nicergoline,Anaemia,3.33333,Moderate
Spironolactone,Isotretinoin,Anaemia,3.33333,Moderate
Etanercept,Doxazosin,Anaemia,1.11111,Minor
duloxetine,polyethylene glycol 9000,Anaemia,6.66667,Major
Naproxen,Calcium,Iron deficiency anaemia,6.66667,Major
Linseed Oil,Prednisone,Anaemia,1.25,Minor
Magnesium,zoledronic acid,Iron deficiency anaemia,10.0,Major
Medroxyprogesterone,Hydrocortisone,Anaemia,1.66667,Minor
Galantamine,Dutasteride,Dyspnoea,1.66667,Minor
Carbocysteine,carbazochrome,Anaemia,3.33333,Moderate
Oxycodone,tazobactam,Pancytopenia,2.5,Moderate
Cetirizine,fondaparinux,Anaemia,15.0,Major
clopidogrel,leflunomide,Anaemia,1.48148,Minor
Losartan,Calcium Gluconate,Anaemia,3.33333,Moderate
telmisartan,ranibizumab,Dizziness,1.11111,Minor
lapatinib,Goserelin,Jaundice,10.0,Major
Sertraline,Omega-3 Fatty Acids,Anaemia,1.66667,Minor
nabilone,Fentanyl,Bradycardia,6.66667,Major
Selegiline,Simvastatin,Iron deficiency anaemia,10.0,Major
Furosemide,icodextrin,Cardiac disorder,3.33333,Moderate
Ritonavir,Methylphenidate,Dizziness,8.57143,Major
ferrous sulfate,coenzyme Q10,Anaemia,1.66667,Minor
Albuterol,Pheniramine,Syncope,1.66667,Minor
Hydrochlorothiazide,dronabinol,Anaemia,10.0,Major
Teriparatide,Omega-3 Acid Ethyl Esters (USP),Anaemia,1.66667,Minor
Magnesium Chloride,calcium acetate,Anaemia,1.6,Minor
Amlodipine,torsemide,Iron deficiency anaemia,0.909091,Minor
insulin detemir,Mupirocin,Dyspnoea,2.0,Moderate
pioglitazone,ropinirole,Anaemia,1.66667,Minor
Hydrochlorothiazide,Glipizide,Iron deficiency anaemia,3.75,Moderate
interferon beta-1b,Ranitidine,Anaemia,1.42857,Minor
Acetazolamide,latanoprost,Anaemia,1.11111,Minor
abatacept,Amitriptyline,Pancytopenia,1.66667,Minor
Zidovudine,Escitalopram,Anaemia,5.0,Major
Sodium polystyrene sulfonate,Nefopam,Anaemia,3.33333,Moderate
lacosamide,levothyroxine,Anaemia,1.53846,Minor
ferrous gluconate,Calcium Chloride,Cardiac disorder,10.0,Major
Sertraline,Lysine,Dizziness,3.33333,Moderate
Fluconazole,exenatide,Anaemia,1.66667,Minor
Loratadine,Dextroamphetamine,Anaemia,1.25,Minor
thyroid (USP),Citalopram,Anaemia,0.909091,Minor
Azithromycin,Ofloxacin,Anaemia,2.5,Moderate
formoterol,Clonazepam,Anaemia,1.71429,Minor
Trihexyphenidyl,Trifluoperazine,Leukopenia,3.33333,Moderate
Lidocaine,Escitalopram,Anaemia,5.0,Major
Clonazepam,silver sulfadiazine,Anaemia,3.33333,Moderate
fesoterodine,Spironolactone,Pancytopenia,10.0,Major
Norethindrone,Fenofibrate,Anaemia,10.0,Major
estropipate,meloxicam,Dyspnoea,2.0,Moderate
Minocycline,Ketoconazole,Anaemia,10.0,Major
ropinirole,Pramipexole,Anaemia,0.196078,Minor
clorazepate,Oxazepam,Anaemia,2.0,Moderate
Phenytoin,oxcarbazepine,Anaemia,0.212766,Minor
Teriparatide,denosumab,Anaemia,4.0,Moderate
Methylphenidate,Fluorouracil,Cardiac disorder,3.33333,Moderate
topiramate,valdecoxib,Anaemia,1.25,Minor
fexofenadine,deferasirox,Anaemia,3.33333,Moderate
Phenprocoumon,Ibuprofen,Anaemia,4.28571,Moderate
Cholecalciferol,basiliximab,Anaemia,10.0,Major
ponatinib,Cytarabine,Myocardial infarction,5.0,Major
Felodipine,Azathioprine,Jaundice,15.0,Major
Doxepin,Verapamil,Anaemia,1.66667,Minor
Losartan,modafinil,Anaemia,3.75,Moderate
Oxycodone,Ibandronate,Anaemia,0.769231,Minor
Lysine,Glucosamine,Anaemia,10.0,Major
nabumetone,Desvenlafaxine,Tachycardia,10.0,Major
Fentanyl,Dobutamine,Nausea,0.535714,Minor
Diphenhydramine,Bifidobacterium Infantis,Myocardial infarction,10.0,Major
Pristinamycin,Pravastatin,Jaundice,10.0,Major
Aspirin,Mianserin,Anaemia,6.66667,Major
Acarbose,pitavastatin,Anaemia,5.0,Major
Doxylamine,olmesartan,Overdose,5.0,Major
Ascorbic Acid,ferrous sulfate,Iron deficiency anaemia,20.0,Major
Eszopiclone,Ritonavir,Dyspnoea,1.42857,Minor
Epinephrine,Amiodarone,Anaemia,4.78261,Moderate
Omega-3 Fatty Acids,"Insulin, Aspart, Human",Anaemia,3.33333,Moderate
